scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E010_P50,10,50,515132.652928,418724.434211,7815.40134935,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,23000000,0.0963422876092,0.0027397260274,2215872.61501,460000,6070.88387675,1260.2739726,484.2435,1744.5174726,509061.769052,0,Optimal,70.8333333333,53.6557894737,507801.495079,2.79953837889e-12
E020_P05,20,5,508670.942351,415656.5,5965.42988537,87049.0124654,0,79.9964582724,20.0035417276,24,1,1187.59,435.245062327,0,38.7375,0,24,17500000,0.0963422876092,0.0027397260274,1685990.03316,350000,4619.15077579,958.904109589,387.375,1346.27910959,504051.791575,0,Optimal,79.1666666667,42.9224376731,503092.887465,1.8438583993e-12
E020_P10,20,10,506117.486087,413930.873961,6719.14712555,85467.465,0,80.3598920417,19.6401079583,24,1,1182.65963989,427.337325,0,66.297325,0,24,19000000,0.0963422876092,0.0027397260274,1830503.46458,380000,5015.07798514,1041.09589041,662.97325,1704.06914041,501102.408102,0,Optimal,79.1666666667,73.4596398892,500061.312211,3.68594044176e-12
E020_P15,20,15,505780.719484,413548.118421,7381.13711572,84851.4639474,0,80.5014468097,19.4985531903,24,1,1181.56605263,424.257319737,0,84.684425,0,24,20500000,0.0963422876092,0.0027397260274,1975016.89599,410000,5411.00519449,1123.28767123,846.84425,1970.13192123,500369.71429,0,Optimal,79.1666666667,93.8331578947,499246.426618,4.98445729136e-12
E020_P20,20,20,506200.950316,413548.118421,7909.1311059,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,22000000,0.0963422876092,0.0027397260274,2119530.3274,440000,5806.93240384,1205.47945205,896.71925,2102.19870206,500394.017913,0,Optimal,75,99.3594736842,499188.538461,5.59907675779e-12
E020_P25,20,25,506679.069307,413548.118421,8387.25009607,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,23500000,0.0963422876092,0.0027397260274,2264043.75882,470000,6202.8596132,1287.67123288,896.71925,2184.39048288,500476.209693,0,Optimal,66.6666666667,99.3594736842,499188.538461,5.59885471318e-12
E020_P30,20,30,507157.188297,413548.118421,8865.36908625,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,25000000,0.0963422876092,0.0027397260274,2408557.19023,500000,6598.78682255,1369.8630137,896.71925,2266.5822637,500558.401474,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.60262947147e-12
E020_P35,20,35,507635.307287,413548.118421,9343.48807642,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,26500000,0.0963422876092,0.0027397260274,2553070.62164,530000,6994.7140319,1452.05479452,896.71925,2348.77404452,500640.593255,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.59885471318e-12
E020_P40,20,40,508113.426277,413548.118421,9821.6070666,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,28000000,0.0963422876092,0.0027397260274,2697584.05306,560000,7390.64124126,1534.24657534,896.71925,2430.96582534,500722.785036,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.6132876125e-12
E020_P45,20,45,508591.545267,413548.118421,10299.7260568,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,29500000,0.0963422876092,0.0027397260274,2842097.48447,590000,7786.56845061,1616.43835616,896.71925,2513.15760616,500804.976817,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.59907675779e-12
E020_P50,20,50,509069.664257,413548.118421,10777.8450469,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,31000000,0.0963422876092,0.0027397260274,2986610.91589,620000,8182.49565996,1698.63013699,896.71925,2595.34938699,500887.168598,0,Optimal,75,99.3594736842,499188.538461,5.59907675779e-12
E030_P05,30,5,507150.923803,413101.5,8562.77283297,85486.6509695,0,80.3554831767,19.6445168233,24,1,1180.29,427.433254848,0,43.475,0,24,25500000,0.0963422876092,0.0027397260274,2456728.33404,510000,6730.762559,1397.26027397,434.75,1832.01027397,500420.161244,0,Optimal,83.3333333333,48.1717451524,499022.90097,1.84563475614e-12
