scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E060_P45,60,45,501066.678315,396112.5,31745.839631,73208.3386842,0,83.1769940151,16.8230059849,24,1,1131.75,366.041693421,0,162.434325,0,24,94500000,0.0963422876092,0.0027397260274,9104346.17907,1890000,24943.4141892,5178.08219178,1624.34325,6802.42544178,476123.264126,0,Optimal,79.1666666667,179.982631579,470945.181934,1.65858438095e-11
E060_P50,60,50,501811.168299,396112.5,32587.8296146,73110.8386842,0,83.1993991552,16.8006008448,24,1,1131.75,365.554193421,0,166.946825,0,24,97000000,0.0963422876092,0.0027397260274,9345201.8981,1940000,25603.2928715,5315.06849315,1669.46825,6984.53674315,476207.875427,0,Optimal,79.1666666667,184.982631579,470892.806934,1.67972302734e-11
E070_P05,70,5,518140.125386,407781.5,28087.5284334,82271.0969529,0,81.0944056197,18.9055943803,24,1,1165.09,411.355484765,0,51.6,0,24,86500000,0.0963422876092,0.0027397260274,8333607.8782,1730000,22831.802406,4739.7260274,516,5255.7260274,495308.32298,0,Optimal,95.8333333333,57.1745152354,490568.596953,1.84741111298e-12
E070_P10,70,10,507734.257683,400911,29234.393417,77588.8642659,0,82.1703654069,17.8296345931,24,1,1145.46,387.94432133,0,86.6,0,24,89000000,0.0963422876092,0.0027397260274,8574463.59722,1780000,23491.6810883,4876.71232877,866,5742.71232877,484242.576595,0,Optimal,87.5,95.9556786703,479365.864266,3.69482222595e-12
E070_P15,70,15,500254.768243,395734.5,30153.4766507,74366.7915928,0,82.9107858131,17.0892141869,24,1,1130.67,371.833957964,0,98.821825,0,24,91500000,0.0963422876092,0.0027397260274,8815319.31625,1830000,24151.5597705,5013.69863014,988.21825,6001.91688014,476103.208473,0,Optimal,79.1666666667,109.497867036,471089.509843,5.52802248421e-12
E070_P20,70,20,496610.832634,393057,31151.3476343,72402.485,0,83.362176217,16.637823783,24,1,1123.02,362.012425,0,118.922425,0,24,94000000,0.0963422876092,0.0027397260274,9056175.03527,1880000,24811.4384528,5150.68493151,1189.22425,6339.90918151,471799.394182,0,Optimal,79.1666666667,131.77,466648.70925,7.37543359719e-12
E070_P25,70,25,496877.265524,392829.5,32097.2066179,71950.5589058,0,83.4660271652,16.5339728348,24,1,1122.37,359.752794529,0,133.821825,0,24,96500000,0.0963422876092,0.0027397260274,9297030.75429,1930000,25471.317135,5287.67123288,1338.21825,6625.88948288,471405.948389,0,Optimal,79.1666666667,148.279030471,466118.277156,9.20863385545e-12
E070_P30,70,30,497558.064025,392829.5,32994.0716015,71734.4924238,0,83.5156784451,16.4843215549,24,1,1122.37,358.672462119,0,143.821825,0,24,99000000,0.0963422876092,0.0027397260274,9537886.47332,1980000,26131.1958173,5424.65753425,1438.21825,6862.87578425,471426.868208,0,Optimal,79.1666666667,159.359362881,466002.210674,1.10595976821e-11
E070_P35,70,35,498238.862527,392829.5,33890.9365852,71518.4259418,0,83.5653297251,16.4346702749,24,1,1122.37,357.592129709,0,153.821825,0,24,101500000,0.0963422876092,0.0027397260274,9778742.19234,2030000,26791.0744996,5561.64383562,1538.21825,7099.86208562,471447.788027,0,Optimal,79.1666666667,170.439695291,465886.144192,1.2896350654e-11
E070_P40,70,40,498919.661029,392829.5,34787.8015688,71302.3594598,0,83.6149810051,16.3850189949,24,1,1122.37,356.511797299,0,163.821825,0,24,104000000,0.0963422876092,0.0027397260274,10019597.9114,2080000,27450.9531818,5698.63013699,1638.21825,7336.84838699,471468.707847,0,Optimal,79.1666666667,181.520027701,465770.07771,1.4749979016e-11
