hour,load,wind,solar,cluster
6,108.15000000000001,3.77,67.140000000000001,8
7,128.09999999999999,3.1499999999999999,45.780000000000001,8
8,145.94999999999999,4.0199999999999996,24.27,8
9,152.25,7.9299999999999997,13.27,8
10,148.05000000000001,18.23,4.7999999999999998,8
11,140.69999999999999,50.43,0,8
12,134.40000000000001,80.790000000000006,0,8
13,131.25,83.239999999999995,0,8
14,133.34999999999999,68.230000000000004,0,8
15,139.65000000000001,58.619999999999997,0,8
16,150.15000000000001,38.890000000000001,0,8
17,161.69999999999999,36.200000000000003,0,8
18,168,45.700000000000003,0,8
19,170.09999999999999,47.869999999999997,0,8
20,158.55000000000001,45.700000000000003,0,8
21,138.59999999999999,37.530000000000001,0.42999999999999999,8
22,117.59999999999999,23.41,3.6899999999999999,8
23,103.95,12.83,7.7199999999999998,8
0,92,5.8899999999999997,15.75,9
1,87,9.3000000000000007,37.200000000000003,9
2,83,17.640000000000001,57,9
3,81,21.280000000000001,54.899999999999999,9
4,82,20.539999999999999,39.390000000000001,9
5,89,18.84,25.629999999999999,9
6,103,20.91,15.84,9
7,122,28.399999999999999,11.76,9
8,139,41.560000000000002,5.7199999999999998,9
9,145,66.269999999999996,0.59999999999999998,9
10,141,96.730000000000004,0,9
11,134,83.689999999999998,0,9
12,128,67.640000000000001,0,9
13,125,62.649999999999999,0,9
14,127,54.600000000000001,0,9
15,133,49.619999999999997,0,9
16,143,36.729999999999997,0,9
17,154,27.949999999999999,0,9
18,160,22.620000000000001,0,9
19,162,21.379999999999999,0,9
20,151,19.370000000000001,0,9
21,132,16.41,0,9
22,112,14.039999999999999,0,9
23,99,11.56,0.35999999999999999,9
0,87.400000000000006,0,42.030000000000001,10
1,82.650000000000006,0,68.540000000000006,10
2,78.849999999999994,0,88.799999999999997,10
3,76.950000000000003,0.029999999999999999,100.09999999999999,10
4,77.900000000000006,0.39000000000000001,105.2,10
5,84.549999999999997,0.69999999999999996,95.609999999999999,10
6,97.849999999999994,0.48999999999999999,76.769999999999996,10
7,115.90000000000001,0.050000000000000003,50.810000000000002,10
8,132.05000000000001,0,21.949999999999999,10
9,137.75,0,1.6299999999999999,10
10,133.94999999999999,0,0,10
11,127.3,0,0,10
12,121.59999999999999,2.4100000000000001,0,10
13,118.75,5.54,0,10
