hour,load,wind,solar,cluster
16,143.83139534883722,20.137209302325587,0,6
17,154.89534883720927,19.007674418604648,0,6
18,160.93023255813952,18.216279069767435,0,6
19,162.94186046511629,17.735116279069764,0,6
20,151.87790697674421,16.469069767441866,0,6
21,132.76744186046511,14.425813953488374,0.19255813953488374,6
22,112.65116279069765,12.503953488372089,3.8076744186046514,6
23,99.57558139534882,10.768604651162793,14.002093023255812,6
0,91.999999999999986,31.588717948717949,33.144871794871804,7
1,86.999999999999986,37.892307692307689,50.942307692307686,7
2,83,38.966153846153858,66.57358974358975,7
3,80.999999999999972,38.43692307692308,73.540769230769229,7
4,82,39.518205128205118,75.981538461538463,7
5,89.000000000000028,39.98282051282051,70.552307692307693,7
6,103,38.846666666666657,59.912307692307692,7
7,122,36.088205128205132,43.944615384615389,7
8,139,31.056410256410256,27.575641025641023,7
9,145,24.134358974358971,11.749487179487179,7
10,141,20.673076923076923,2.6705128205128208,7
11,134,19.407179487179491,0.092820512820512818,7
12,128,17.504358974358976,0,7
13,125,14.769743589743593,0,7
14,127,12.480512820512823,0,7
15,133.00000000000003,11.532820512820514,0,7
16,143.00000000000003,10.723589743589741,0,7
17,153.99999999999997,9.8461538461538449,0,7
18,160,8.6869230769230725,0,7
19,161.99999999999994,8.7766666666666673,0,7
20,151.00000000000003,8.8820512820512825,0,7
21,131.99999999999997,7.9279487179487189,0.20282051282051286,7
22,111.99999999999997,6.611538461538462,3.4543589743589749,7
23,99.000000000000028,5.948717948717948,14.034871794871801,7
0,92.246428571428595,1.680892857142857,38.833035714285714,8
1,87.233035714285734,1.2389285714285714,60.666071428571442,8
2,83.222321428571405,0.94410714285714292,78.042500000000004,8
3,81.216964285714297,0.78999999999999992,87.555892857142865,8
4,82.219642857142858,0.72660714285714278,93.029464285714283,8
5,89.238392857142841,0.73678571428571416,87.225535714285698,8
6,103.27589285714284,0.87410714285714275,71.996964285714284,8
7,122.32678571428573,1.0087499999999998,53.587142857142844,8
8,139.37232142857141,1.3503571428571426,32.091249999999995,8
9,145.38839285714286,2.3205357142857146,13.21535714285714,8
10,141.37767857142859,5.3753571428571423,2.8823214285714287,8
11,134.35892857142855,10.154642857142857,0.02267857142857143,8
12,128.3428571428571,13.55517857142857,0,8
13,125.33482142857143,14.356250000000001,0,8
14,127.34017857142861,13.383571428571424,0,8
15,133.35624999999996,11.806607142857143,0,8
16,143.38303571428568,9.8357142857142872,0,8
17,154.41249999999997,8.2792857142857113,0,8
18,160.42857142857142,6.9894642857142868,0,8
19,162.43392857142859,6.1367857142857138,0,8
20,151.40446428571431,5.5930357142857163,0,8
21,132.35357142857146,5.0123214285714282,0.17517857142857143,8
22,112.30000000000003,4.2507142857142854,4.4124999999999996,8
23,99.26517857142855,3.2780357142857137,17.680535714285718,8
0,92.219047619047615,4.1676190476190484,22.541904761904767,9
1,87.207142857142856,4.961904761904762,36.869523809523805,9
2,83.197619047619057,6.13904761904762,50.550476190476189,9
3,81.192857142857136,9.9233333333333338,60.710952380952385,9
4,82.195238095238096,14.892857142857146,60.949047619047633,9
5,89.211904761904762,20.12047619047619,59.787619047619067,9
6,103.24523809523809,24.100000000000001,50.182380952380946,9
7,122.29047619047618,26.090952380952384,39.164761904761903,9
8,139.33095238095237,24.822857142857146,25.587142857142858,9
9,145.3452380952381,18.288095238095238,11.363333333333333,9
10,141.33571428571429,13.613809523809524,2.861904761904762,9
11,134.31904761904764,11.158095238095237,0.10190476190476191,9
12,128.3047619047619,8.538095238095238,0,9
13,125.29761904761905,5.8890476190476182,0,9
14,127.30238095238094,4.3704761904761904,0,9
15,133.31666666666666,4.4342857142857142,0,9
16,143.34047619047618,5.1152380952380945,0,9
17,154.36666666666665,5.2328571428571431,0,9
18,160.38095238095238,5.3452380952380949,0,9
19,162.38571428571427,5.0804761904761904,0,9
20,151.35952380952381,4.4733333333333336,0,9
21,132.31428571428572,3.6247619047619044,0.27333333333333332,9
22,112.26666666666667,2.9342857142857142,3.8676190476190468,9
23,99.23571428571428,2.5157142857142851,15.310952380952379,9
